Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink
Snoede pestobrød,https://www.arla.dk/opskrifter/snoede-pestobrod/,Madpakke,60,True,96,https://images.arla.com/recordid/97778581-C07B-43E1-8CCEE482868AF8DE/snoede-pestobrod.jpg
Crostini,https://www.arla.dk/opskrifter/crostini/,Unknown,20,False,62,https://cdn-rdb.arla.com/Files/arla-dk/2179672725/c6899b05-0798-4c52-8e27-440c59dd40be.jpg
Dyreryg med kartoffelmedaljer,https://www.arla.dk/opskrifter/dyreryg-med-kartoffelmedaljer/,Hovedret,60,False,66,https://images.arla.com/recordid/8DC5D146-A90C-4E04-9C4C06F7FABF6189/dyreryg-med-kartoffelmedaljer.jpg
Avocado med rejer,https://www.arla.dk/opskrifter/avocado-med-rejer/,Forret,30,False,66,https://images.arla.com/recordid/9ED6E303-1B15-47B5-B28CC3F98FEB33FD/avocado-med-rejer.jpg
Kylling i stegeso,https://www.arla.dk/opskrifter/kylling-i-stegeso/,Hovedret,60,False,78,https://cdn-rdb.arla.com/Files/arla-dk/3630318226/d7006707-ad47-483e-a068-e065f2b0c6d2.jpg
Rocky road cookies,https://www.arla.dk/opskrifter/rocky-road-cookies/,Unknown,45,True,86,https://cdn-rdb.arla.com/Files/arla-dk/2227202995/ddc013c2-11b3-4cb5-add8-abf5a31a398a.jpg
Pasta med grøntsager,https://www.arla.dk/opskrifter/pasta-med-grontsager/,Hovedret,15,False,70,https://images.arla.com/recordid/2f7c9e6fce06411f91b7aa1000f0f250/pasta-med-grontsager.jpg
Burrata pizza,https://www.arla.dk/opskrifter/burrata-pizza/,Hovedret,30,False,100,https://images.arla.com/recordid/12ABC0A5-AB99-42FB-9D6AEF06353E9826/burrata-pizza.jpg
Banankage med skyr og chiafrø,https://www.arla.dk/opskrifter/banankage-med-skyr/,Dessert,60,False,76,https://cdn-rdb.arla.com/Files/arla-dk/2920471062/b735e0fe-97f5-4d9b-a9bb-c28d849b3825.jpg
Sprøde filoruller med krydret salatost,https://www.arla.dk/opskrifter/filoruller-med-krydret-ost/,Forret,45,False,62,https://images.arla.com/recordid/E5830A9D-5B50-4299-BEE00C73C59B1F31/filoruller-med-krydret-ost.jpg
Cremet ærtesuppe med mynte og ristet parmaskinke,https://www.arla.dk/opskrifter/cremet-artesuppe-med-mynte-og-ristet-parmaskinke/,Hovedret,35,False,80,https://cdn-rdb.arla.com/Files/arla-dk/999994712/283a553b-4419-4efb-b67a-4ef33b9a6e77.jpg
Bagekartoffel i airfryer,https://www.arla.dk/opskrifter/bagekartoffel-i-airfryer/,Tilbehoer,50,False,92,https://images.arla.com/recordid/BDE607FE-0A4B-43A3-A78B8A904DD4C114/bagekartoffel-i-airfryer.jpg
Tyrkiske brød med bønnefyld og myntedressing,https://www.arla.dk/opskrifter/tyrkiske-brod-med-bonnefyld-og-myntedressing/,Hovedret,30,False,52,https://cdn-rdb.arla.com/Files/arla-dk/2325666032/f0a5c34d-b68e-4360-90c1-a1022718364e.jpg
Oksehøjreb og vintergrøntsager,https://www.arla.dk/opskrifter/oksehojreb-og-vintergronsager/,Hovedret,60,False,68,https://images.arla.com/recordid/fb8f0bd3bc4a4313a823ac7400d4f9aa/oksehojreb-og-vintergronsager.jpg
Kartoffelsalat med grillede jordbær,https://www.arla.dk/opskrifter/kartoffelsalat-med-grillede-jordbar/,Hovedret,30,False,76,https://cdn-rdb.arla.com/Files/arla-dk/3187758094/37e45bf5-da30-463a-8362-b1183198bf5d.jpg
Fattoush med bulgur,https://www.arla.dk/opskrifter/fattoush-med-bulgur/,Hovedret,45,False,88,https://images.arla.com/recordid/E001C23E-146C-4B9B-88935AFF9CE45315/fattoush-med-bulgur.jpg
Langtidsstegt nakkesteg,https://www.arla.dk/opskrifter/langtidsstegt-nakkesteg/,Unknown,60,False,80,https://images.arla.com/recordid/7C722C0F-00DF-485A-8C854C69B1F60AC3/langtidsstegt-nakkesteg.jpg
Kage i kop,https://www.arla.dk/opskrifter/kage-i-kop/,Unknown,15,False,82,https://cdn-rdb.arla.com/Files/arla-dk/512164143/3aa8a526-a0d4-46d3-ad25-6837797315e3.jpg
Edamamebønner,https://www.arla.dk/opskrifter/edamamebonner-snack/,Tilbehoer,5,False,84,https://images.arla.com/recordid/C6D5340C-5930-4E9B-990D2DF33883E8D4/edamamebonner-snack.jpg
Grillede asparges og squash,https://www.arla.dk/opskrifter/grillede-asparges-og-squash/,Tilbehoer,20,False,100,https://cdn-rdb.arla.com/Files/arla-dk/4050941352/068331b3-9207-4f32-9d0b-b4e5f17eec96.jpg
Rejesalat med chili og lime,https://www.arla.dk/opskrifter/rejesalat-med-chili-og-lime/,Unknown,30,False,86,https://cdn-rdb.arla.com/Files/arla-dk/619221434/869ad4ca-520e-4475-bf11-5b440feca513.jpg
